model,reward,lenght
./logs_dir/TEST_models\PPO\PPO_df_075_100_nodes.zip,[-2512.27],[485]
./logs_dir/TEST_models\PPO\PPO_lr_001_100_nodes.zip,[-2512.27],[485]
./logs_dir/TEST_models\PPO\PPO_std_100_nodes.zip,[-2512.27],[485]
./logs_dir/TEST_models\A2C\A2C_df_075_100_nodes.zip,[-1898.6889],[422]
./logs_dir/TEST_models\A2C\A2C_lr_001_100_nodes.zip,[-5067.7],[499]
./logs_dir/TEST_models\A2C\A2C_std_100_nodes.zip,[-4159.47],[409]
./logs_dir/TEST_models\DQN\DQN_df_075_100_nodes.zip,[-91.74],[473]
./logs_dir/TEST_models\DQN\DQN_lr_001_100_nodes.zip,[-123.5106],[484]
./logs_dir/TEST_models\DQN\DQN_std_100_nodes.zip,[-1708.9906],[492]
./logs_dir/TEST_models\PPO\PPO_df_075_100_nodes.zip,[-2462.77],[477]
./logs_dir/TEST_models\PPO\PPO_lr_001_100_nodes.zip,[-2462.77],[477]
./logs_dir/TEST_models\PPO\PPO_std_100_nodes.zip,[-2462.77],[477]
./logs_dir/TEST_models\A2C\A2C_df_075_100_nodes.zip,[-1962.2276],[435]
./logs_dir/TEST_models\A2C\A2C_lr_001_100_nodes.zip,[-4935.48],[486]
./logs_dir/TEST_models\A2C\A2C_std_100_nodes.zip,[-4971.26],[490]
./logs_dir/TEST_models\DQN\DQN_df_075_100_nodes.zip,[-90.74],[459]
./logs_dir/TEST_models\DQN\DQN_lr_001_100_nodes.zip,[-86.89],[500]
./logs_dir/TEST_models\DQN\DQN_std_100_nodes.zip,[-1369.5719],[500]
./logs_dir/TEST_models\PPO\PPO_df_075_100_nodes.zip,[-2528.76],[488]
./logs_dir/TEST_models\PPO\PPO_lr_001_100_nodes.zip,[-2528.76],[488]
./logs_dir/TEST_models\PPO\PPO_std_100_nodes.zip,[-2528.76],[488]
./logs_dir/TEST_models\A2C\A2C_df_075_100_nodes.zip,[-2230.0691],[500]
./logs_dir/TEST_models\A2C\A2C_lr_001_100_nodes.zip,[-5025.88],[492]
./logs_dir/TEST_models\A2C\A2C_std_100_nodes.zip,[-4302.14],[421]
./logs_dir/TEST_models\DQN\DQN_df_075_100_nodes.zip,[-104.0247],[460]
./logs_dir/TEST_models\DQN\DQN_lr_001_100_nodes.zip,[-202.7421],[460]
./logs_dir/TEST_models\DQN\DQN_std_100_nodes.zip,[-1270.71],[424]
